Time;A;B;Labels
2020-02-26T17:56:45+01:00;0,00;3635074964649240,00;-1
2020-02-26T17:57:00+01:00;0.02222222222222222;3635087719298240,00;-1
2020-02-26T17:57:15+01:00;577764938556921,00;45403508771929800,00;1
2020-02-26T17:57:30+01:00;5.8;3638583724267630,00;-1
2020-02-26T17:57:45+01:00;11511111111111100,00;4543859649122800,00;1
2020-02-26T17:58:00+01:00;57555555555555500,00;4543843705811550,00;1
2020-02-26T17:58:15+01:00;5733333333333330,00;4543859649122800,00;1
2020-02-26T17:58:30+01:00;0,00;36420285888718100,00;-1
2020-02-26T17:58:45+01:00;0,00;3638583724267630,00;-1
2020-02-26T17:59:00+01:00;0.0666681481810707;27473780609756500,00;-1
2020-02-26T17:59:15+01:00;0.06667407489721079;27473491414095300,00;-1
2020-02-26T17:59:30+01:00;0.06666814818107068;27473780609756500,00;-1
2020-02-26T17:59:45+01:00;577764938556921,00;36596491228070100,00;1
2020-02-26T18:00:00+01:00;11533589635325200,00;4568437082235370,00;1
2020-02-26T18:00:15+01:00;11533333333333300,00;4564928297994020,00;1
2020-02-26T18:00:30+01:00;11488633585920300,00;456840502314027,00;1
2020-02-26T18:00:45+01:00;5844574323873860,00;4575454650718070,00;1
2020-02-26T18:01:00+01:00;5844444444444440,00;4575438596491220,00;1
2020-02-26T18:01:15+01:00;0.11111604960220454;4575454650718070,00;-1
2020-02-26T18:01:30+01:00;0.02222123461179503;4578931301995430,00;-1
2020-02-26T18:01:45+01:00;5822351607813500,00;5491247337709950,00;1
2020-02-26T18:02:00+01:00;5844314570787310,00;4585981003442110,00;1
2020-02-26T18:02:15+01:00;5955687904175640,00;4603508771929820,00;1
2020-02-26T18:02:30+01:00;0.17777777777777776;37017673746223600,00;-1
2020-02-26T18:02:45+01:00;608902420053779,00;4638629043010820,00;1
2020-02-26T18:03:00+01:00;5955555555555550,00;463859649122807,00;1
2020-02-26T18:03:15+01:00;11822222222222200,00;5568557824227260,00;1
2020-02-26T18:03:30+01:00;5888627172125680,00;5568421052631570,00;1
2020-02-26T18:03:45+01:00;11755555555555500,00;64841877747797300,00;1
2020-02-26T18:04:00+01:00;5888888888888880,00;6487764826419830,00;1
2020-02-26T18:04:15+01:00;5889019755994570,00;6487719298245610,00;1
2020-02-26T18:04:30+01:00;0.04444444444444444;5578947368421050,00;-1
2020-02-26T18:04:45+01:00;5910848406737470,00;5599980350946130,00;1
2020-02-26T18:05:00+01:00;5911242472054930,00;5600019649191750,00;1
2020-02-26T18:05:15+01:00;5888888888888880,00;4694753314923910,00;1
2020-02-26T18:05:30+01:00;0,00;4677176571310270,00;-1
2020-02-26T18:05:45+01:00;0,00;4677176571310270,00;-1
2020-02-26T18:06:00+01:00;0.0222227160603569;4680701754385960,00;-1
2020-02-26T18:06:15+01:00;59111111111111100,00;5607037217674440,00;1
2020-02-26T18:06:30+01:00;59111111111111100,00;4691195149507720,00;-1
2020-02-26T18:06:45+01:00;11755033109639500,00;5614015389419680,00;1
2020-02-26T18:07:00+01:00;5887972981980580,00;55963537737669500,00;1
2020-02-26T18:07:15+01:00;5889019755994570,00;5592962831709360,00;1
2020-02-26T18:07:30+01:00;5889019755994570,00;5582436552854200,00;-1
2020-02-26T18:07:45+01:00;5934388335704120,00;5593002080709050,00;-1
2020-02-26T18:08:00+01:00;5933201484411450,00;4663125171051430,00;-1
2020-02-26T18:08:15+01:00;0.06666518521810627;4663157894736840,00;-1
2020-02-26T18:08:30+01:00;0,00;3736828993582470,00;-1
2020-02-26T18:08:45+01:00;5889019755994570,00;4663141532836720,00;1
2020-02-26T18:09:00+01:00;588915062891684,00;4663174256751770,00;1
2020-02-26T18:09:15+01:00;11755816795928700,00;5585964912280700,00;1
2020-02-26T18:09:30+01:00;5866797039934220,00;4656173025775610,00;1
2020-02-26T18:09:45+01:00;5888758027599380,00;465963277321834,00;1
2020-02-26T18:10:00+01:00;0.02222222222222222;4659649122807010,00;1
2020-02-26T18:10:15+01:00;5888758027599380,00;5585964912280700,00;-1
2020-02-26T18:10:30+01:00;5866797039934220,00;5586004112309550,00;-1
2020-02-26T18:10:45+01:00;1171111111111110,00;6505240332490060,00;1
2020-02-26T18:11:00+01:00;5866536299193350,00;5578927793235810,00;1
2020-02-26T18:11:15+01:00;1171059064041590,00;6501754385964910,00;1
2020-02-26T18:11:30+01:00;5866666666666660,00;5575458159502310,00;-1